PPI,score,label
1BGX-model-2_AB_Z,1.8612409830093384,1
1BGX-model-39_AB_Z,1.0037226676940918,0
1NMA-model-31_AB_Z,1.9445255994796755,0
1NMA-model-53_AB_Z,1.728118658065796,1
1NMC-model-26_AB_Z,1.94010591506958,0
1nmc_BC_A,1.940599799156189,1
2CMR-model-15_AB_Z,-1.252159595489502,0
2CMR-model-1_AB_Z,1.7484889030456543,1
3GBM-model-1_AB_ZY,1.878027439117432,1
3GBM-model-70_AB_ZY,1.84579873085022,0
3GBN-model-36_AB_ZY,1.222106695175171,0
3GI8-model-17_AB_Z,1.7300219535827637,1
3GI8-model-29_AB_Z,1.927894115447998,0
3GI9-model-45_AB_Z,1.94319760799408,0
3GI9-model-9_AB_Z,1.7657095193862915,1
3I50-model-36_AB_Z,-1.3164684772491455,0
3J8V-model-30_AB_Z,1.3413474559783936,0
3J8W-model-24_AB_Z,1.9333535432815552,0
3J8Z-model-6_AB_Z,1.8358135223388672,0
3JBA-model-98_AB_Z,1.712613224983215,0
3N85-model-1_AB_Z,1.7890136241912842,1
3N85-model-85_AB_Z,1.6192140579223633,0
3O0R-model-69_AB_ZY,1.8770629167556765,0
3RU8-model-1_AB_Z,1.8572651147842407,1
3RU8-model-53_AB_Z,1.722725749015808,0
3V0A-model-41_A_Z,0.6523192524909973,0
3VI3-model-7_AB_Z,1.664461374282837,1
3VI3-model-81_AB_Z,1.7270145416259766,0
3VI4-model-27_AB_Z,1.9613945484161377,0
3VI4-model-66_AB_Z,1.7149893045425415,1
3WFB-model-81_AB_ZY,1.953941345214844,0
3WFC-model-56_AB_ZY,1.9011502265930176,1
3WFC-model-89_AB_ZY,1.907894730567932,0
3WFE-model-22_AB_ZY,1.916831135749817,0
3ZKN-model-3_AB_Z,1.913722395896912,1
3ZKN-model-95_AB_Z,1.9605467319488523,0
3ZTJ-model-36_AB_ZY,1.6773316860198977,1
3ZTJ-model-9_AB_ZY,0.7555361390113831,0
3gbn_HL_BA,1.273769736289978,1
3i50_HL_E,1.6418076753616333,1
