PPI,score,label
1BGX-model-2_AB_Z,-131.113,1
1BGX-model-39_AB_Z,-45.4576,0
1NMA-model-31_AB_Z,-14.0641,0
1NMA-model-53_AB_Z,-66.3423,1
1NMC-model-26_AB_Z,-35.7625,0
1nmc_BC_A,-68.4935,1
2CMR-model-15_AB_Z,-39.2267,0
2CMR-model-1_AB_Z,-108.407,1
3GBM-model-1_AB_ZY,-91.1379,1
3GBM-model-70_AB_ZY,-32.538,0
3GBN-model-36_AB_ZY,-45.7317,0
3GI8-model-17_AB_Z,-67.4134,1
3GI8-model-29_AB_Z,-69.583,0
3GI9-model-45_AB_Z,-66.4007,0
3GI9-model-9_AB_Z,-80.0782,1
3I50-model-36_AB_Z,-67.108,0
3J8V-model-30_AB_Z,-52.4204,0
3J8W-model-24_AB_Z,-63.6952,0
3J8Z-model-6_AB_Z,-49.0357,0
3JBA-model-98_AB_Z,-59.8764,0
3N85-model-1_AB_Z,-103.495,1
3N85-model-85_AB_Z,-59.609,0
3O0R-model-69_AB_ZY,-56.5953,0
3RU8-model-1_AB_Z,-124.197,1
3RU8-model-53_AB_Z,-41.7821,0
3V0A-model-41_A_Z,-51.4241,0
3VI3-model-7_AB_Z,-84.8694,1
3VI3-model-81_AB_Z,-29.7539,0
3VI4-model-27_AB_Z,-38.1811,0
3VI4-model-66_AB_Z,-49.604,1
3WFB-model-81_AB_ZY,-53.1689,0
3WFC-model-56_AB_ZY,-63.2337,1
3WFC-model-89_AB_ZY,-46.1574,0
3WFE-model-22_AB_ZY,-75.5493,0
3ZKN-model-3_AB_Z,-85.4339,1
3ZKN-model-95_AB_Z,-76.2909,0
3ZTJ-model-36_AB_ZY,-82.8221,1
3ZTJ-model-9_AB_ZY,-32.2732,0
3gbn_HL_BA,-102.009,1
3i50_HL_E,-62.4545,1
3j8v_FJ_D,-1.16375,1
3j8w_FJ_D,45.6083,1
3j8z_FJ_D,-0.823805,1
3jba_HL_A,9.00832,1
3o0r_HL_BC,-84.6174,1
3v0a_C_A,-72.5718,1
3wfb_HL_BC,-73.296,1
3wfe_HL_BC,-72.1737,1
4DAG-model-93_AB_Z,-46.4959,0
4FFW-model-23_AB_Z,-81.0161,1
4FFW-model-29_AB_Z,-68.4761,0
4FQI-model-13_AB_ZY,-87.5445,1
4FQI-model-51_AB_ZY,-40.7789,0
4FQV-model-67_AB_ZY,-39.3555,0
4FQY-model-25_AB_ZY,-74.1523,0
4GRW-model-20_A_Z,-74.5029,1
4GRW-model-30_A_Z,-69.6935,0
4HEM-model-47_A_Z,-26.0799,0
4HLZ-model-77_AB_ZY,-42.8957,0
4HLZ-model-7_AB_ZY,-77.6584,1
4IOS-model-54_A_Z,-44.7975,0
4IOS-model-58_A_Z,-53.6745,1
4KFZ-model-1_A_Z,-170.042,1
4KFZ-model-72_A_Z,-40.2245,0
4KRL-model-5_A_Z,-89.3685,1
4KRL-model-99_A_Z,-39.7249,0
4KRM-model-57_A_Z,-49.3175,1
4KRM-model-62_A_Z,-32.6716,0
4KRO-model-22_A_Z,-76.9129,0
4KRO-model-3_A_Z,-87.7516,1
4KRP-model-10_A_Z,-28.9962,0
4KRP-model-74_A_Z,-56.3039,1
4M1G-model-10_AB_ZY,-80.541,0
4M1G-model-1_AB_ZY,-95.4933,1
4M3K-model-67_A_Z,-31.4233,0
4M3K-model-7_A_Z,-48.4459,1
4NM8-model-28_AB_ZY,-58.4083,0
4PY8-model-1_AB_ZY,-81.4854,1
4PY8-model-81_AB_ZY,-44.2213,0
4QEX-model-59_AB_Z,-49.4665,0
4QNP-model-1_AB_ZY,-74.4648,1
4QNP-model-92_AB_ZY,-41.8233,0
4R8W-model-7_AB_ZY,-73.7866,1
4R8W-model-86_AB_ZY,-33.8364,0
4UV7-model-38_AB_Z,-48.8498,0
4UV7-model-9_AB_Z,-86.9492,1
4W6Y-model-33_A_Z,-56.5412,1
4W6Y-model-80_A_Z,-33.8193,0
4WEN-model-24_A_Z,-21.3752,0
4WEN-model-2_A_Z,-84.2853,1
4WEU-model-6_A_Z,-48.7222,0
4XMM-model-34_AB_ZY,-65.209,0
4dag_HL_A,-44.1726,1
4fqv_HL_BA,-63.8829,1
4fqy_HL_BA,-67.6142,1
4hem_F_C,-56.1372,1
4nm8_HL_BA,-54.7143,1
4qex_HL_A,-85.6448,1
4weu_D_B,-48.6397,1
4xmm_HL_DC,-95.9809,1
5CUS-model-17_AB_Z,-90.4376,1
5CUS-model-59_AB_Z,-30.9978,0
5E7F-model-37_A_Z,-43.2653,0
5E7F-model-72_A_Z,-81.8807,1
5FOJ-model-70_A_Z,-61.6702,0
5FOJ-model-80_A_Z,-48.0305,1
5GJS-model-31_AB_ZY,-85.9,1
5GJS-model-85_AB_ZY,-16.2988,0
5GJT-model-40_AB_ZY,-34.0882,0
5GJT-model-5_AB_ZY,-90.3978,1
5JW3-model-39_AB_ZY,-26.5943,0
5JW3-model-99_AB_ZY,-78.6891,1
5LWF-model-71_A_Z,-40.04,1
5LWF-model-99_A_Z,-25.8051,0
5MZV-model-31_A_Z,-95.9395,1
5MZV-model-80_A_Z,-46.6634,0
5OJM-model-62_A_Z,-54.7478,0
5W9H-model-2_AB_Z,-97.8981,1
5W9H-model-80_AB_Z,-48.2038,0
5W9I-model-1_AB_Z,-91.5207,1
5W9I-model-69_AB_Z,-55.8921,0
5W9J-model-18_AB_Z,-25.2418,0
5W9K-model-4_AB_Z,-92.5069,1
5W9K-model-66_AB_Z,-22.6233,0
5W9L-model-2_AB_Z,-87.3823,1
5W9L-model-90_AB_Z,-67.4908,0
5W9M-model-2_AB_Z,-81.9118,1
5W9M-model-41_AB_Z,-30.1141,0
5W9P-model-1_AB_Z,-88.0257,1
5W9P-model-72_AB_Z,-47.0355,0
5WKO-model-54_AB_ZY,-58.3208,0
5WKO-model-6_AB_ZY,-100.023,1
5XWD-model-19_AB_Z,-44.767,0
5XWD-model-3_AB_Z,-73.786,1
5Y2L-model-5_AB_ZY,-91.2027,1
5Y2L-model-90_AB_ZY,-34.7739,0
5Y2M-model-79_AB_ZY,-68.5474,1
5Y2M-model-9_AB_ZY,-46.8379,0
5Y7Z-model-1_A_Z,-99.5361,1
5Y7Z-model-34_A_Z,-38.8765,0
5Y80-model-1_A_Z,-74.6526,1
5Y80-model-66_A_Z,-38.3486,0
5ojm_K_A,-56.8027,1
5w9j_BC_A,-81.4124,1
6A96-model-13_A_Z,-53.9559,0
6APB-model-33_AB_ZY,-44.9535,0
6B3M-model-60_AB_ZY,-51.1493,0
6D6U-model-53_AB_Z,-66.9963,0
6D6U-model-6_AB_Z,-81.8337,1
6DBF-model-10_A_Z,-83.667,1
6DBF-model-56_A_Z,-42.3143,0
6DBG-model-48_A_Z,-39.9567,0
6DBG-model-7_A_Z,-86.9794,1
6EY0-model-14_A_Z,-78.9139,1
6EY0-model-51_A_Z,-27.3337,0
6FE4-model-1_A_Z,-58.8482,1
6FE4-model-49_A_Z,-24.6077,0
6FYT-model-32_A_ZY,-25.6366,0
6FYT-model-3_A_ZY,-47.6843,1
6FYU-model-1_A_ZY,-77.6704,1
6FYU-model-82_A_ZY,-39.5584,0
6GG0-model-90_AB_ZY,-33.8489,0
6GWN-model-1_A_Z,-91.9306,1
6GWN-model-82_A_Z,-32.6775,0
6GWP-model-39_A_Z,-46.3574,0
6GWP-model-4_A_Z,-83.9635,1
6H15-model-2_A_Z,-96.2361,1
6H15-model-56_A_Z,-42.6947,0
6H16-model-39_A_Z,-49.282,1
6H16-model-80_A_Z,-50.3544,0
6HJP-model-79_AB_ZY,-42.4908,0
6HJQ-model-53_AB_ZY,-42.1308,0
6HJX-model-20_A_Z,-58.8287,0
6HJX-model-30_A_Z,-85.3265,1
6HJY-model-11_A_Z,-73.4681,1
6HJY-model-60_A_Z,-47.0189,0
6NB3-model-78_AB_Z,-31.1736,0
6NB4-model-29_AB_Z,-82.8914,0
6NB7-model-43_AB_Z,-20.1862,0
6NI2-model-57_AB_Z,-51.0691,1
6NI2-model-82_AB_Z,-51.1451,0
6NZ7-model-50_AB_ZY,-35.2285,0
6OQ6-model-36_A_Z,-6.16636,0
6OQ6-model-96_A_Z,-28.8851,1
6OQ7-model-11_A_Z,-83.1229,1
6OQ7-model-34_A_Z,-10.6481,0
6OQ8-model-53_A_Z,-45.1201,0
6OQ8-model-61_A_Z,-58.1216,1
6PWC-model-45_AB_ZY,-81.0344,0
6PZ8-model-35_AB_Z,-49.2109,0
6PZF-model-30_AB_Z,-32.8657,0
6SC5-model-22_A_Z,-44.3634,0
6SC5-model-25_A_Z,-33.4344,1
6SC6-model-2_A_Z,-49.9046,1
6SC6-model-30_A_Z,-65.2872,0
6SC8-model-30_A_Z,-55.8371,1
6SC8-model-36_A_Z,-25.7547,0
6SC9-model-63_A_Z,-39.5805,0
6SC9-model-78_A_Z,-42.7669,1
6SGE-model-21_A_Z,-34.7635,0
6SGE-model-26_A_Z,-50.3089,1
6SSI-model-92_A_Z,-47.8243,0
6U02-model-30_AB_Z,-42.6991,0
6U12-model-12_A_Z,-89.9894,1
6U12-model-40_A_Z,-16.5604,0
6U1N-model-7_AB_ZY,-71.0181,0
6U1N-model-81_AB_ZY,-76.1947,1
6UI1-model-1_A_Z,-115.466,1
6UI1-model-64_A_Z,-26.8844,0
6UL6-model-1_A_Z,-231.131,1
6UL6-model-21_A_Z,-44.2724,0
6WEX-model-10_AB_ZY,-67.1379,1
6WEX-model-21_AB_ZY,-42.7491,0
6WEZ-model-55_AB_ZY,-62.003,0
6WF0-model-12_AB_ZY,-36.1147,0
6WIZ-model-50_AB_ZY,-86.4962,0
6WIZ-model-9_AB_ZY,-86.7162,1
6WJ1-model-40_AB_ZY,-55.2127,1
6WJ1-model-67_AB_ZY,-39.7346,0
6WPS-model-41_AB_Z,-64.6929,0
6WPT-model-10_AB_Z,-49.7802,0
6WXL-model-13_AB_ZY,-31.6433,0
6WXL-model-1_AB_ZY,-98.9289,1
6WZT-model-73_AB_Z,-37.0471,0
6X07-model-90_A_Z,-35.2851,0
6X08-model-40_A_Z,-71.6337,0
6X3S-model-1_AB_Z,-83.0983,1
6X3S-model-85_AB_Z,-10.8497,0
6X3U-model-1_AB_Z,-39.4672,0
6X3U-model-8_AB_Z,-83.6395,1
6X3V-model-24_AB_Z,-68.3103,1
6X3V-model-56_AB_Z,-28.572,0
6X3X-model-1_AB_Z,-70.8674,1
6X3X-model-32_AB_Z,2.91997,0
6X40-model-23_AB_Z,-56.1617,0
6X40-model-7_AB_Z,-78.1294,1
6XEY-model-29_AB_Z,-71.0579,0
6XGC-model-60_AB_ZY,-51.3652,0
6YZ5-model-42_A_Z,-41.1238,0
6YZ5-model-44_A_Z,-45.681,1
6YZ7-model-51_A_Z,-54.8353,1
6YZ7-model-93_A_Z,-32.3538,0
6Z2M-model-91_A_Z,-47.927,0
6Z2M-model-98_A_Z,-67.9884,1
6ZCZ-model-18_A_Z,-66.5092,1
6ZCZ-model-5_A_Z,-55.0685,0
6ZDH-model-85_AB_Z,-35.2038,0
6ZE1-model-1_A_Z,-105.545,1
6ZE1-model-31_A_Z,-16.6628,0
6ZG3-model-28_A_ZY,-61.169,0
6ZG3-model-76_A_ZY,-90.1515,1
6ZHD-model-20_A_Z,-35.0907,0
6ZXN-model-40_A_Z,-48.7613,0
6a96_K_D,-37.7033,1
6apb_HL_CA,-87.9449,1
6b3m_CD_BA,-69.388,1
6gg0_HL_43,-17.0196,1
6hjp_GH_BA,-55.7215,1
6hjq_IJ_DC,-53.2299,1
6nb3_DE_A,-87.8143,1
6nb4_HL_A,-92.6481,1
6nb7_DE_B,-56.2045,1
6nz7_GI_FE,-85.175,1
6pwc_HL_AR,-49.6177,1
6pz8_CG_J,-75.4328,1
6pzf_FE_B,-59.1516,1
6ssi_F_A,-79.1885,1
6u02_DC_B,-63.3832,1
6wez_HL_BA,-72.2359,1
6wf0_HL_BA,-73.465,1
6wps_CD_B,-97.8136,1
6wpt_DE_A,-95.3727,1
6wzt_ED_B,-62.0641,1
6x07_B_A,-81.9226,1
6x08_K_B,9.03726,1
6xey_FG_B,-79.9655,1
6xgc_HL_DC,-68.6649,1
6zdh_DF_B,-103.689,1
6zhd_D_A,-55.9254,1
6zxn_D_A,-71.4789,1
7A25-model-31_A_Z,-68.3552,0
7A25-model-41_A_Z,-84.7065,1
7A29-model-17_A_Z,-61.3246,0
7A5V-model-70_A_Z,-32.3218,0
7AEJ-model-4_A_Z,-54.3667,1
7AEJ-model-67_A_Z,-26.4903,0
7AKD-model-73_AB_Z,-71.9882,0
7AKD-model-93_AB_Z,-74.9968,1
7APJ-model-1_A_Z,-97.2802,1
7APJ-model-25_A_Z,-47.155,0
7AQG-model-28_A_Z,-20.0326,0
7AQG-model-2_A_Z,-94.1044,1
7B0B-model-67_AB_Z,-59.9832,0
7B14-model-2_A_Z,-90.4455,1
7B14-model-5_A_Z,-55.2375,0
7B18-model-16_A_Z,-36.9797,0
7B18-model-5_A_Z,-121.437,1
7BEL-model-3_AB_Z,-44.7866,0
7BEL-model-6_AB_Z,-82.067,1
7BYR-model-33_AB_Z,-42.9084,0
7C2L-model-2_AB_Z,-135.98,1
7C2L-model-85_AB_Z,-15.0799,0
7CAC-model-2_AB_ZY,-125.314,1
7CAC-model-92_AB_ZY,-23.7734,0
7CAH-model-26_AB_Z,-71.3594,1
7CAH-model-29_AB_Z,-53.4098,0
7CAI-model-31_AB_Z,-52.1559,0
7CAK-model-11_AB_Z,-55.1328,0
7CAK-model-20_AB_Z,-72.9749,1
7CHH-model-25_AB_Z,-54.5129,0
7CWL-model-34_AB_Z,-71.6947,1
7CWL-model-36_AB_Z,-69.5177,0
7CWM-model-33_AB_Z,-71.8893,1
7CWM-model-69_AB_Z,-55.2488,0
7CWN-model-28_AB_Z,-59.6649,0
7CWO-model-20_AB_Z,-73.8434,1
7CWO-model-77_AB_Z,-23.5961,0
7CWS-model-37_AB_Z,-9.16174,0
7CWS-model-4_AB_Z,-77.6642,1
7CWT-model-21_AB_Z,-33.3956,0
7CYH-model-48_AB_Z,-38.6023,0
7CZP-model-96_AB_Z,-52.6884,0
7CZQ-model-21_AB_Z,-44.5591,0
7CZR-model-31_AB_Z,-55.0908,0
7CZS-model-47_AB_Z,-39.2488,0
7CZT-model-1_AB_Z,-98.6254,1
7CZT-model-84_AB_Z,-60.6389,0
7CZU-model-20_AB_Z,-54.7546,0
7CZV-model-8_AB_Z,-21.8476,0
7CZW-model-2_AB_Z,-71.9626,0
7CZY-model-33_AB_Z,-74.3836,0
7D03-model-18_AB_Z,-38.4636,0
7D0B-model-55_AB_Z,-71.9993,0
7D0D-model-36_AB_Z,-51.719,0
7D2Z-model-1_A_Z,-195.328,1
7D2Z-model-36_A_Z,-17.3183,0
7DD8-model-7_AB_ZY,-101.733,0
7DK4-model-1_AB_Z,-123.731,1
7DK4-model-84_AB_Z,-67.2175,0
7DK6-model-1_AB_Z,-112.952,1
7DK6-model-34_AB_Z,-39.0858,0
7DK7-model-1_AB_Z,-106.022,1
7DK7-model-38_AB_Z,-19.755,0
7DZX-model-12_AB_Z,-41.6145,0
7DZY-model-12_AB_Z,-51.3914,0
7E3C-model-12_AB_Z,-41.021,0
7E3C-model-1_AB_Z,-96.3606,1
7E3K-model-50_AB_Z,-44.86,0
7E3L-model-25_AB_Z,-62.3618,0
7E5R-model-46_AB_Z,-35.2535,0
7E7X-model-20_AB_Z,-51.9102,0
7E7X-model-4_AB_Z,-125.005,1
7E8C-model-5_AB_Z,-83.3535,1
7E8C-model-82_AB_Z,-61.7212,0
7E9N-model-26_AB_Z,-77.2728,0
7E9O-model-40_AB_Z,-55.1958,0
7E9Q-model-40_AB_Z,-61.9926,1
7E9Q-model-78_AB_Z,-62.3761,0
7EH5-model-36_AB_Z,-37.0505,0
7ENF-model-38_AB_Z,-34.5131,0
7EPX-model-34_AB_Z,-78.1759,0
7EW5-model-2_AB_Z,-64.0539,0
7EZV-model-1_AB_Z,-79.751,1
7EZV-model-71_AB_Z,-49.2915,0
7F63-model-19_AB_Z,-24.0744,0
7FAE-model-15_AB_Z,-70.7589,0
7FAF-model-37_AB_Z,-64.5331,0
7FG2-model-41_A_Z,-58.8498,0
7FJN-model-19_AB_Z,-37.3233,0
7FJO-model-43_AB_Z,-76.3819,0
7JV4-model-41_AB_Z,-58.9525,0
7JV6-model-33_AB_Z,-52.032,0
7JVA-model-1_AB_Z,-85.2783,1
7JVA-model-83_AB_Z,-47.3761,0
7JVB-model-64_A_Z,-82.2095,1
7JVB-model-7_A_Z,-48.8602,0
7JVC-model-5_AB_Z,-66.0315,0
7JW0-model-40_AB_Z,-49.4204,0
7JWB-model-1_A_ZY,-315.671,1
7JWB-model-94_A_ZY,-78.009,0
7K43-model-16_AB_Z,-73.4355,0
7K43-model-67_AB_Z,-71.0097,1
7K4N-model-13_AB_Z,-59.4541,0
7K8U-model-67_AB_ZY,-62.5475,0
7K8W-model-90_AB_ZY,-34.0915,0
7K8X-model-7_AB_ZY,-75.875,1
7K8X-model-93_AB_ZY,-43.9113,0
7K8Z-model-30_AB_Z,-46.249,0
7K90-model-11_AB_Z,-64.3121,0
7K90-model-39_AB_Z,-69.7479,1
7K9H-model-62_AB_ZY,-55.3782,0
7K9J-model-71_AB_Z,-48.5878,0
7KKK-model-42_A_Z,-55.8251,0
7KKL-model-17_A_Z,-47.3839,0
7KM5-model-24_A_Z,-53.9085,1
7KM5-model-38_A_Z,-40.6127,0
7KMK-model-36_AB_Z,-71.5071,0
7KML-model-41_AB_Z,-66.6433,1
7KML-model-73_AB_Z,-42.1526,0
7KQB-model-14_AB_Z,-65.1096,1
7KQB-model-3_AB_Z,-63.3559,0
7KQE-model-11_AB_Z,-71.5672,0
7KR5-model-16_AB_ZY,-72.9295,0
7KS9-model-23_AB_Z,-82.7186,1
7KS9-model-42_AB_Z,-57.0416,0
7KSG-model-12_A_Z,-91.0815,1
7KSG-model-14_A_Z,-65.1772,0
7KXJ-model-14_AB_Z,-75.8804,1
7KXJ-model-16_AB_Z,-50.4054,0
7KXK-model-33_AB_Z,-68.2636,0
7L02-model-12_AB_Z,-59.4411,0
7L09-model-32_AB_Z,-51.5063,0
