PPI,score,label
10gh,-152.1559,1
10gh-model-100_AB_Z,-58.2986,0
10gh-model-10_AB_Z,-88.9612,0
10gh-model-11_AB_Z,-69.8743,0
10gh-model-12_AB_Z,-75.5352,0
10gh-model-13_AB_Z,-90.9297,0
10gh-model-14_AB_Z,-62.5801,0
10gh-model-15_AB_Z,-105.9005,0
10gh-model-16_AB_Z,-32.3013,0
10gh-model-17_AB_Z,-98.4503,0
10gh-model-18_AB_Z,-104.1489,0
10gh-model-19_AB_Z,-43.849,0
10gh-model-1_AB_Z,-59.3861,0
10gh-model-20_AB_Z,-36.8938,0
10gh-model-21_AB_Z,-77.2454,0
10gh-model-22_AB_Z,-23.7073,0
10gh-model-23_AB_Z,-53.7875,0
10gh-model-24_AB_Z,-50.2566,0
10gh-model-25_AB_Z,-74.5306,0
10gh-model-26_AB_Z,-28.6103,0
10gh-model-27_AB_Z,-94.3836,0
10gh-model-28_AB_Z,-50.3224,0
10gh-model-29_AB_Z,-48.9397,0
10gh-model-2_AB_Z,-79.1544,0
10gh-model-30_AB_Z,-68.5739,0
10gh-model-31_AB_Z,-69.1413,0
10gh-model-32_AB_Z,-65.9621,0
10gh-model-33_AB_Z,-25.4247,0
10gh-model-34_AB_Z,-53.7428,0
10gh-model-35_AB_Z,-71.7923,0
10gh-model-36_AB_Z,-59.1165,0
10gh-model-37_AB_Z,-72.7951,0
10gh-model-38_AB_Z,-52.116,0
10gh-model-39_AB_Z,-13.5045,0
10gh-model-3_AB_Z,-43.6395,0
10gh-model-40_AB_Z,-85.3043,0
10gh-model-41_AB_Z,-86.7123,0
10gh-model-42_AB_Z,-62.9983,0
10gh-model-43_AB_Z,-69.4586,0
10gh-model-44_AB_Z,-27.5574,0
10gh-model-45_AB_Z,-60.3819,0
10gh-model-46_AB_Z,-87.123,0
10gh-model-47_AB_Z,-69.2943,0
10gh-model-48_AB_Z,-33.4839,0
10gh-model-49_AB_Z,-50.5703,0
10gh-model-4_AB_Z,-62.7565,0
10gh-model-50_AB_Z,-56.4752,0
10gh-model-51_AB_Z,-4.5102,0
10gh-model-52_AB_Z,-46.5677,0
10gh-model-53_AB_Z,-62.4574,0
10gh-model-54_AB_Z,-16.5542,0
10gh-model-55_AB_Z,-79.1019,0
10gh-model-56_AB_Z,-84.8233,0
10gh-model-57_AB_Z,-48.0001,0
10gh-model-58_AB_Z,-82.6026,0
