PPI,score,label
1BGX-model-2_AB_Z,-11.42,1
1BGX-model-39_AB_Z,-9.9,0
1NMA-model-31_AB_Z,-10.32,0
1NMA-model-53_AB_Z,-10.65,1
1NMC-model-26_AB_Z,-10.2,0
1nmc_BC_A,-10.46,1
2CMR-model-15_AB_Z,-10.03,0
2CMR-model-1_AB_Z,-11.68,1
3GBM-model-1_AB_ZY,-11.72,1
3GBM-model-70_AB_ZY,-9.77,0
3GBN-model-36_AB_ZY,-10.1,0
3GI8-model-17_AB_Z,-11.04,1
3GI8-model-29_AB_Z,-10.47,0
3GI9-model-45_AB_Z,-11.06,0
3GI9-model-9_AB_Z,-11.07,1
3I50-model-36_AB_Z,-10.56,0
3J8V-model-30_AB_Z,-10.34,0
3J8W-model-24_AB_Z,-10.29,0
3J8Z-model-6_AB_Z,-9.98,0
3JBA-model-98_AB_Z,-10.21,0
3N85-model-1_AB_Z,-10.85,1
3N85-model-85_AB_Z,-9.42,0
3O0R-model-69_AB_ZY,-10.01,0
3RU8-model-1_AB_Z,-10.7,1
3RU8-model-53_AB_Z,-10.05,0
3V0A-model-41_A_Z,-10.65,0
3VI3-model-7_AB_Z,-11.17,1
3VI3-model-81_AB_Z,-9.96,0
3VI4-model-27_AB_Z,-9.5,0
3VI4-model-66_AB_Z,-10.82,1
3WFB-model-81_AB_ZY,-9.72,0
3WFC-model-56_AB_ZY,-10.6,1
3WFC-model-89_AB_ZY,-10.91,0
3WFE-model-22_AB_ZY,-10.31,0
3ZKN-model-3_AB_Z,-11.35,1
3ZKN-model-95_AB_Z,-10.16,0
3ZTJ-model-36_AB_ZY,-10.95,1
3ZTJ-model-9_AB_ZY,-9.85,0
3gbn_HL_BA,-11.28,1
3i50_HL_E,-10.98,1
3j8v_FJ_D,-9.2,1
3j8w_FJ_D,-11.5,1
3j8z_FJ_D,-10.75,1
3jba_HL_A,-10.88,1
3o0r_HL_BC,-10.33,1
3v0a_C_A,-10.79,1
3wfb_HL_BC,-10.55,1
3wfe_HL_BC,-10.44,1
4DAG-model-93_AB_Z,-10.96,0
4FFW-model-23_AB_Z,-9.88,1
4FFW-model-29_AB_Z,-9.61,0
4FQI-model-13_AB_ZY,-11.2,1
4FQI-model-51_AB_ZY,-10.13,0
4FQV-model-67_AB_ZY,-9.51,0
4FQY-model-25_AB_ZY,-10.54,0
4GRW-model-20_A_Z,-10.64,1
4GRW-model-30_A_Z,-10.56,0
4HEM-model-47_A_Z,-10.47,0
4HLZ-model-77_AB_ZY,-9.87,0
4HLZ-model-7_AB_ZY,-11.45,1
4IOS-model-54_A_Z,-10.47,0
4IOS-model-58_A_Z,-10.9,1
4KFZ-model-1_A_Z,-10.51,1
4KFZ-model-72_A_Z,-10.29,0
4KRL-model-5_A_Z,-10.16,1
4KRL-model-99_A_Z,-10.26,0
4KRM-model-57_A_Z,-10.69,1
4KRM-model-62_A_Z,-10.19,0
4KRO-model-22_A_Z,-10.53,0
4KRO-model-3_A_Z,-9.89,1
4KRP-model-10_A_Z,-10.76,0
4KRP-model-74_A_Z,-9.98,1
4M1G-model-10_AB_ZY,-10.6,0
4M1G-model-1_AB_ZY,-10.42,1
4M3K-model-67_A_Z,-10.86,0
4M3K-model-7_A_Z,-10.28,1
4NM8-model-28_AB_ZY,-9.63,0
4PY8-model-1_AB_ZY,-11.32,1
4PY8-model-81_AB_ZY,-9.65,0
4QEX-model-59_AB_Z,-9.26,0
4QNP-model-1_AB_ZY,-9.97,1
4QNP-model-92_AB_ZY,-9.49,0
4R8W-model-7_AB_ZY,-10.85,1
4R8W-model-86_AB_ZY,-10.74,0
4UV7-model-38_AB_Z,-9.44,0
4UV7-model-9_AB_Z,-11.25,1
4W6Y-model-33_A_Z,-10.68,1
4W6Y-model-80_A_Z,-10.69,0
4WEN-model-24_A_Z,-10.47,0
4WEN-model-2_A_Z,-10.17,1
4WEU-model-6_A_Z,-9.89,0
4XMM-model-34_AB_ZY,-9.73,0
4dag_HL_A,-10.16,1
4fqv_HL_BA,-11.3,1
4fqy_HL_BA,-11.28,1
4hem_F_C,-10.32,1
4nm8_HL_BA,-11.5,1
4qex_HL_A,-11.13,1
4weu_D_B,-9.2,1
4xmm_HL_DC,-11.1,1
5CUS-model-17_AB_Z,-10.76,1
5CUS-model-59_AB_Z,-9.65,0
5E7F-model-37_A_Z,-10.65,0
5E7F-model-72_A_Z,-10.78,1
5FOJ-model-70_A_Z,-11.08,0
5FOJ-model-80_A_Z,-10.35,1
5GJS-model-31_AB_ZY,-10.81,1
5GJS-model-85_AB_ZY,-10.2,0
5GJT-model-40_AB_ZY,-9.66,0
5GJT-model-5_AB_ZY,-10.72,1
5JW3-model-39_AB_ZY,-9.55,0
5JW3-model-99_AB_ZY,-10.46,1
5LWF-model-71_A_Z,-10.1,1
5LWF-model-99_A_Z,-9.78,0
5MZV-model-31_A_Z,-11.43,1
