PPI,score,label
10gh,-11.33,1
10gh-model-100_AB_Z,-10.06,0
10gh-model-10_AB_Z,-9.68,0
10gh-model-11_AB_Z,-9.56,0
10gh-model-12_AB_Z,-9.52,0
10gh-model-13_AB_Z,-9.82,0
10gh-model-14_AB_Z,-9.38,0
10gh-model-15_AB_Z,-9.68,0
10gh-model-16_AB_Z,-9.85,0
10gh-model-17_AB_Z,-9.83,0
10gh-model-18_AB_Z,-9.55,0
10gh-model-19_AB_Z,-9.96,0
10gh-model-1_AB_Z,-9.6,0
10gh-model-20_AB_Z,-9.47,0
10gh-model-21_AB_Z,-9.74,0
10gh-model-22_AB_Z,-9.74,0
10gh-model-23_AB_Z,-9.49,0
10gh-model-24_AB_Z,-10.01,0
10gh-model-25_AB_Z,-9.66,0
10gh-model-26_AB_Z,-9.45,0
10gh-model-27_AB_Z,-9.51,0
10gh-model-28_AB_Z,-9.47,0
10gh-model-29_AB_Z,-9.8,0
10gh-model-2_AB_Z,-10.0,0
10gh-model-30_AB_Z,-10.21,0
10gh-model-31_AB_Z,-9.94,0
10gh-model-32_AB_Z,-9.73,0
10gh-model-33_AB_Z,-9.33,0
10gh-model-34_AB_Z,-9.48,0
10gh-model-35_AB_Z,-9.84,0
10gh-model-36_AB_Z,-10.1,0
10gh-model-37_AB_Z,-9.83,0
10gh-model-38_AB_Z,-9.7,0
10gh-model-39_AB_Z,-9.89,0
10gh-model-3_AB_Z,-9.72,0
10gh-model-40_AB_Z,-9.67,0
10gh-model-41_AB_Z,-9.59,0
10gh-model-42_AB_Z,-9.56,0
10gh-model-43_AB_Z,-9.63,0
10gh-model-44_AB_Z,-9.62,0
10gh-model-45_AB_Z,-10.17,0
10gh-model-46_AB_Z,-9.66,0
10gh-model-47_AB_Z,-9.94,0
10gh-model-48_AB_Z,-9.37,0
10gh-model-49_AB_Z,-9.38,0
10gh-model-4_AB_Z,-9.6,0
10gh-model-50_AB_Z,-9.83,0
10gh-model-51_AB_Z,-9.33,0
10gh-model-52_AB_Z,-9.56,0
10gh-model-53_AB_Z,-9.54,0
10gh-model-54_AB_Z,-10.01,0
10gh-model-55_AB_Z,-9.84,0
10gh-model-56_AB_Z,-9.66,0
10gh-model-57_AB_Z,-10.04,0
10gh-model-58_AB_Z,-9.82,0
10gh-model-59_AB_Z,-9.8,0
10gh-model-5_AB_Z,-9.7,0
10gh-model-60_AB_Z,-9.46,0
10gh-model-61_AB_Z,-9.91,0
10gh-model-62_AB_Z,-10.14,0
10gh-model-63_AB_Z,-9.56,0
