PPI,score,label
10gh,-123.419,1
10gh-model-100_AB_Z,-64.1307,0
10gh-model-10_AB_Z,-67.2955,0
10gh-model-11_AB_Z,-42.6878,0
10gh-model-12_AB_Z,-46.0698,0
10gh-model-13_AB_Z,-70.8391,0
10gh-model-14_AB_Z,-82.0572,0
10gh-model-15_AB_Z,-85.2924,0
10gh-model-16_AB_Z,-63.6655,0
10gh-model-17_AB_Z,-70.2222,0
10gh-model-18_AB_Z,-47.3374,0
10gh-model-19_AB_Z,-72.0773,0
10gh-model-1_AB_Z,-62.4855,0
10gh-model-20_AB_Z,-27.1535,0
10gh-model-21_AB_Z,-46.7598,0
10gh-model-22_AB_Z,-60.5142,0
10gh-model-23_AB_Z,-93.5021,0
10gh-model-24_AB_Z,-60.3418,0
10gh-model-25_AB_Z,-82.7955,0
10gh-model-26_AB_Z,-45.1542,0
10gh-model-27_AB_Z,-86.2912,0
10gh-model-28_AB_Z,-49.8944,0
10gh-model-29_AB_Z,-55.8698,0
10gh-model-2_AB_Z,-104.348,0
10gh-model-30_AB_Z,-69.3332,0
10gh-model-31_AB_Z,-78.4043,0
10gh-model-32_AB_Z,-68.0605,0
10gh-model-33_AB_Z,-47.9352,0
10gh-model-34_AB_Z,-26.1552,0
10gh-model-35_AB_Z,-59.385,0
10gh-model-36_AB_Z,-83.7204,0
10gh-model-37_AB_Z,-81.9053,0
10gh-model-38_AB_Z,-43.6636,0
10gh-model-39_AB_Z,-34.7876,0
10gh-model-3_AB_Z,-65.6066,0
10gh-model-40_AB_Z,-33.2844,0
10gh-model-41_AB_Z,-41.5792,0
10gh-model-42_AB_Z,-43.6641,0
10gh-model-43_AB_Z,-62.151,0
10gh-model-44_AB_Z,-35.7933,0
10gh-model-45_AB_Z,-44.5167,0
10gh-model-46_AB_Z,-93.6564,0
10gh-model-47_AB_Z,-55.7465,0
10gh-model-48_AB_Z,-59.646,0
10gh-model-49_AB_Z,-61.4853,0
10gh-model-4_AB_Z,-63.8111,0
10gh-model-50_AB_Z,-31.7325,0
10gh-model-51_AB_Z,-48.4781,0
10gh-model-52_AB_Z,-52.7196,0
10gh-model-53_AB_Z,-100.757,0
10gh-model-54_AB_Z,-66.974,0
10gh-model-55_AB_Z,-63.0217,0
10gh-model-56_AB_Z,-53.1532,0
10gh-model-57_AB_Z,-59.4539,0
10gh-model-58_AB_Z,-79.5872,0
10gh-model-59_AB_Z,-52.6763,0
10gh-model-5_AB_Z,-27.1743,0
10gh-model-60_AB_Z,-50.8637,0
10gh-model-61_AB_Z,-46.5347,0
10gh-model-62_AB_Z,-38.9891,0
10gh-model-63_AB_Z,-39.6797,0
10gh-model-64_AB_Z,-63.6011,0
10gh-model-65_AB_Z,-44.0297,0
10gh-model-66_AB_Z,-65.7238,0
10gh-model-67_AB_Z,-69.9088,0
10gh-model-68_AB_Z,-75.2807,0
10gh-model-69_AB_Z,-91.8261,0
10gh-model-6_AB_Z,-53.3122,0
10gh-model-70_AB_Z,-73.786,0
10gh-model-71_AB_Z,-59.2348,0
10gh-model-72_AB_Z,-46.0807,0
10gh-model-73_AB_Z,-79.0365,0
10gh-model-74_AB_Z,-65.4492,0
10gh-model-75_AB_Z,-33.9578,0
10gh-model-76_AB_Z,-55.083,0
10gh-model-77_AB_Z,-51.8557,0
10gh-model-78_AB_Z,-50.1068,0
10gh-model-79_AB_Z,-42.6913,0
10gh-model-7_AB_Z,-65.3547,0
10gh-model-80_AB_Z,-61.5528,0
10gh-model-81_AB_Z,-71.9547,0
10gh-model-82_AB_Z,-42.9355,0
10gh-model-83_AB_Z,-46.0915,0
10gh-model-84_AB_Z,-77.5548,0
10gh-model-85_AB_Z,-47.3675,0
10gh-model-86_AB_Z,-47.9587,0
10gh-model-87_AB_Z,-45.0978,0
10gh-model-88_AB_Z,-62.1448,0
10gh-model-89_AB_Z,-35.1728,0
10gh-model-8_AB_Z,-91.8105,0
10gh-model-90_AB_Z,-71.7724,0
10gh-model-91_AB_Z,-50.5467,0
