PPI,score,label
10gh,-7.324450492858887,1
10gh-model-100_AB_Z,-9.250290870666504,0
10gh-model-10_AB_Z,-7.730559349060059,0
10gh-model-11_AB_Z,-11.495145797729492,0
10gh-model-12_AB_Z,-9.793261528015137,0
10gh-model-13_AB_Z,-9.678744316101074,0
10gh-model-14_AB_Z,-8.656105995178223,0
10gh-model-15_AB_Z,-12.292679786682127,0
10gh-model-16_AB_Z,-8.29385757446289,0
10gh-model-17_AB_Z,-4.597797870635986,0
10gh-model-18_AB_Z,-10.949451446533203,0
10gh-model-19_AB_Z,-8.27844524383545,0
10gh-model-1_AB_Z,-8.54708194732666,0
10gh-model-20_AB_Z,-8.371186256408691,0
10gh-model-21_AB_Z,-8.89012622833252,0
10gh-model-22_AB_Z,-9.071102142333984,0
10gh-model-23_AB_Z,-7.0430908203125,0
10gh-model-24_AB_Z,-10.98052215576172,0
10gh-model-25_AB_Z,-7.078125476837158,0
10gh-model-26_AB_Z,-8.592881202697754,0
10gh-model-27_AB_Z,-9.922258377075195,0
10gh-model-28_AB_Z,-8.728466987609863,0
10gh-model-29_AB_Z,-11.37524700164795,0
10gh-model-2_AB_Z,-10.858028411865234,0
10gh-model-30_AB_Z,-12.384613990783691,0
10gh-model-31_AB_Z,-9.27357578277588,0
10gh-model-32_AB_Z,-6.53516149520874,0
10gh-model-33_AB_Z,-9.496620178222656,0
10gh-model-34_AB_Z,-7.504965782165527,0
10gh-model-35_AB_Z,-10.85395622253418,0
10gh-model-36_AB_Z,-9.518203735351562,0
10gh-model-37_AB_Z,-11.092535972595217,0
10gh-model-38_AB_Z,-8.309021949768066,0
10gh-model-39_AB_Z,-10.581378936767578,0
10gh-model-3_AB_Z,-8.002228736877441,0
10gh-model-40_AB_Z,-6.33320426940918,0
10gh-model-41_AB_Z,-9.092116355895996,0
10gh-model-42_AB_Z,-14.081354141235352,0
10gh-model-43_AB_Z,-10.486865043640137,0
10gh-model-44_AB_Z,-10.031959533691406,0
10gh-model-45_AB_Z,-8.183417320251465,0
10gh-model-46_AB_Z,-9.470165252685549,0
10gh-model-47_AB_Z,-9.724382400512695,0
10gh-model-48_AB_Z,-6.977871894836426,0
10gh-model-49_AB_Z,-9.97921657562256,0
