PPI,score,label
1BGX-model-2_AB_Z,-9.047449111938477,1
1BGX-model-39_AB_Z,-12.701926231384276,0
1NMA-model-31_AB_Z,-7.384653091430664,0
1NMA-model-53_AB_Z,-7.432291030883789,1
1NMC-model-26_AB_Z,-8.026647567749023,0
1nmc_BC_A,-7.272426128387451,1
2CMR-model-15_AB_Z,-9.359439849853516,0
2CMR-model-1_AB_Z,-8.574971199035645,1
3GBM-model-1_AB_ZY,-10.35503101348877,1
3GBM-model-70_AB_ZY,-13.960860252380373,0
3GBN-model-36_AB_ZY,-8.134799003601074,0
3GI8-model-17_AB_Z,-8.86646556854248,1
3GI8-model-29_AB_Z,-7.808791637420654,0
3GI9-model-45_AB_Z,-8.64041805267334,0
3GI9-model-9_AB_Z,-8.846036911010742,1
3I50-model-36_AB_Z,-10.148847579956056,0
3J8V-model-30_AB_Z,-9.304128646850586,0
3J8W-model-24_AB_Z,-9.81606101989746,0
3J8Z-model-6_AB_Z,-10.384032249450684,0
3JBA-model-98_AB_Z,-8.855184555053711,0
3N85-model-1_AB_Z,-9.676836967468262,1
3N85-model-85_AB_Z,-11.577531814575195,0
3O0R-model-69_AB_ZY,-9.66596221923828,0
3RU8-model-1_AB_Z,-8.04695987701416,1
3RU8-model-53_AB_Z,-7.502175331115723,0
3V0A-model-41_A_Z,-10.1713228225708,0
3VI3-model-7_AB_Z,-9.79661464691162,1
3VI3-model-81_AB_Z,-9.808972358703612,0
3VI4-model-27_AB_Z,-9.598321914672852,0
3VI4-model-66_AB_Z,-10.023083686828612,1
3WFB-model-81_AB_ZY,-8.122300148010254,0
3WFC-model-56_AB_ZY,-8.533415794372559,1
3WFC-model-89_AB_ZY,-9.245858192443848,0
3WFE-model-22_AB_ZY,-9.008583068847656,0
3ZKN-model-3_AB_Z,-8.185617446899414,1
3ZKN-model-95_AB_Z,-5.775856018066406,0
3ZTJ-model-36_AB_ZY,-6.93307638168335,1
3ZTJ-model-9_AB_ZY,-9.95189380645752,0
3gbn_HL_BA,-7.445355415344238,1
3i50_HL_E,-9.07590389251709,1
3j8v_FJ_D,-7.930868148803711,1
3j8w_FJ_D,-9.2224702835083,1
3j8z_FJ_D,-10.180519104003906,1
3jba_HL_A,-9.866085052490234,1
3o0r_HL_BC,-8.43189811706543,1
3v0a_C_A,-10.754778861999512,1
3wfb_HL_BC,-8.46090316772461,1
3wfe_HL_BC,-8.466318130493164,1
4DAG-model-93_AB_Z,-9.41182804107666,0
4FFW-model-23_AB_Z,-9.327991485595703,1
4FFW-model-29_AB_Z,-7.7143049240112305,0
4FQI-model-13_AB_ZY,-9.757665634155272,1
4FQI-model-51_AB_ZY,-9.485382080078123,0
4FQV-model-67_AB_ZY,-8.958650588989258,0
4FQY-model-25_AB_ZY,-10.50212574005127,0
4GRW-model-20_A_Z,-7.233221054077148,1
